,US-C SPIRE LTE BLOCKED-ASK Verizon=locked ,Non-Activated,actived,HSO/NOT SWAP,swap,light scratches , crack back-$80, crack back-$100, crack back-$60,,
,iPhone 17Air 256GB,700,620,560,530,500,470,,,,
,iPhone 17Air 512GB,780,700,600,570,540,510,,,,
,iPhone 17Air 1TB,900,820,700,670,640,610,,,,
,iPhone 17Air (Cricket-80) FLEX+ASK,sealed,open ,new not box,SWAP/A Grade ,B+ Grade,B grade,  C Grade,D Grade BAD LCD,,
,iPhone 17Air 256GB Locked/flex/verizon,520,520,490,460,430,400,,,,
,iPhone 17Air 512GB Locked/flex/verizon,560,560,530,500,470,440,,,,
,iPhone 17Air 1TB Locked/flex/verizon,590,590,560,530,500,470,,,,
,,,,,,,,,,,
,iPhone 17 Unlocked,sealed,opened,new not box,A Grade ,B+ Grade,B grade,  C Grade,D Grade BAD LCD,,
,US-C SPIRE LTE BLOCKED-ASK Verizon=locked ,Non-Activated,actived,HSO/NOT SWAP,Swap,light scratches , crack back-$80, crack back-$90, crack back-$60,,
,iPhone 17  256GB   Unlocked ,700,620,550,530,500,480,,,,
,iPhone 17  512GB   Unlocked ,800,700,640,610,580,560,,,,
,iPhone 17  (Cricket-80) FLEX+ASK,sealed,open ,new not box,SWAP/A Grade ,B+ Grade,B grade,  C Grade,D Grade BAD LCD,,
,iPhone 17 256GB Locked/flex/verizon,565,565,535,505,475,450,,,,
,iPhone 17 512GB Locked/flex/verizon,660,660,630,600,570,540,,,,
,,,,,,,,,,,
,iPhone 16 Pro Max Unlocked ,sealed,opened,new not box,A Grade ,B+ Grade,B grade,  C Grade,D Grade BAD LCD,unlocked = locked ,
,US-C SPIRE LTE BLOCKED-ASK Verizon=locked ,Non-Activated,actived,HSO/NOT SWAP,swap,light scratches , crack back-$100, crack back-$150, crack back-$80,demo-new -100 used-60,
,iPhone 16 Pro Max 256GB Unlocked Desert,940,840,790,,,,,,bad face id =D,
,iPhone 16 Pro Max 256GB Unlocked Others BLACK-10,930,830,790,770,750,730,600,350,bad carame -300,
,iPhone 16 Pro Max 512GB Unlocked Desert,1090,1000,880,,,,,,crack lens-80,
,iPhone 16 Pro Max 512GB Unlocked Others BLACK-10,1080,990,880,860,830,810,680,430,red message-60,
,iPhone 16 Pro Max 1TB. Unlocked Desert,1190,1090,950,,,,,,,
,iPhone 16 Pro Max 1TB. Unlocked  other,1180,1080,950,920,880,860,730,450,,
,"iPhone 16 Pro Max Cricket-100, FLEX+ASK",sealed,open ,new not box,SWAP/A Grade ,B+ Grade,B grade,  C Grade,D Grade BAD LCD,,
,iPhone 16 Pro Max 256GB US Spec Locked/flex /verizon,685　Desert＋５,685,650,630,590,570,440,240,,
,iPhone 16 Pro Max 512GB US Spec Locked/flex/verizon,830,830,775,750,720,690,540,330,,
,iPhone 16 Pro Max 1TB   US Spec Locked/flex/verizon,900,900,840,820,790,760,610,380,,
,,,,,,,,,,,
,iPhone 16 Pro Unlocked,sealed,opened,new not box,A Grade ,B+ Grade,B grade,  C Grade,D Grade BAD LCD,unlocked = locked ,
,US-C SPIRE LTE BLOCKED-ASK Verizon=locked ,Non-Activated,actived,HSO/NOT SWAP,swap,light scratches , crack back-$100, crack back-$130, crack back-$80,demo-new -100 used-60,
,iPhone 16 Pro 128GB Unlocked Desert,760,670,610,,,,,,bad face id =D,
,iPhone 16 Pro 128GB Unlocked Others,750,660,610,590,570,550,450,250,bad carame -260,
,iPhone 15 Pro 256GB Unlocked Desert,860,770,690,,,,,,crack lens-80,
,iPhone 16 Pro 256GB Unlocked Others,850,760,690,670,640,620,500,300,red message-60,
,iPhone 16 Pro 512GB Unlocked Desert,1010,910,770,,,,,,,
f,iPhone 16 Pro 512GB Unlocked Others,1000,900,770,740,710,690,580,360,,
,iPhone 16 Pro 1TB Unlocked Desert,1100,1000,820,,,,,,,
,iPhone 16 Pro 1TB Unlocked Others,1090,990,820,790,760,740,630,400,,
,,,,,,,,,,,
,iPhone 16 Pro  (Cricket-100) FLEX+ASK,sealed,open ,new not box,SWAP/A Grade ,B+ Grade,B grade,  C Grade,D Grade BAD LCD,,
,iPhone 16 Pro 128GB US Spec Locked/flex/verizon,520,520,490,470,450,420,300,150,,
,iPhone 16 Pro 256GB US Spec Locked/flex/verizon,660,660,630,600,570,540,415,220,,
,iPhone 16 Pro 512GB US Spec Locked/flex/verizon,760,760,720,690,660,630,490,270,,
,iPhone 16 Pro 1TB   US Spec Locked/flex/verizon,820,820,780,750,720,690,540,300,,
,,,,,,,,,,,
,iPhone 16 Plus Unlocked,sealed,opened,new not box,A Grade ,B+ Grade,B grade,  C Grade,D Grade BAD LCD,unlocked = locked ,
,US-C SPIRE LTE BLOCKED-ASK Verizon=locked ,Non-Activated,actived,HSO/NOT SWAP,swap,light scratches , crack back-$80, crack back-$100, crack back-$60,demo-new -80 used-50,
,iPhone 16 Plus 128GB  ,560,480,450,420,390,360,280,160,bad face id =D,
,iPhone 16 Plus 256GB  ,630,550,500,470,440,410,320,200,bad carame -200,
,iPhone 16 Plus 512GB,670,590,530,500,470,440,330,210,crack lens-60,
,iPhone 16 Plus (Cricket-80) FLEX+ASK,sealed,open ,new not box,SWAP/A Grade ,B+ Grade,B grade,  C Grade,D Grade BAD LCD,red message-50,
,iPhone 16 Plus 128GB Locked/flex/verizon,400,400,380,360,340,320,220,100,,
,iPhone 16 Plus 256GB Locked/flex/verizon,530,530,500,470,450,420,320,160,,
,iPhone 16 Plus 512GB Locked/flex/verizon,585,585,550,520,490,460,370,200,,
,,,,,,,,,,,
,iPhone 16 Unlocked,sealed,opened,new not box,A Grade ,B+ Grade,B grade,  C Grade,D Grade BAD LCD,unlocked = locked ,
