timestamp,filename,filepath,size_bytes,size_mb,type,extension,file_category
2025-11-04 11:10:28,191_listings.csv,/Users/admin/Downloads/191_listings.csv,46693,0.04,File,.csv,Document
2025-11-04 12:21:29,165_listings.csv,/Users/admin/Downloads/165_listings.csv,40025,0.04,File,.csv,Document
2025-11-04 12:28:48,27 Oct buyying price list  -LCDONE xlsx 2xlsx.xlsx,/Users/admin/Downloads/27 Oct buyying price list  -LCDONE xlsx 2xlsx.xlsx,90847,0.09,File,.xlsx,Document
2025-11-04 12:41:08,27 Oct buyying price list  -LCDONE xlsx 2xlsx.xlsx - iPhones.csv,/Users/admin/Downloads/27 Oct buyying price list  -LCDONE xlsx 2xlsx.xlsx - iPhones.csv,31542,0.03,File,.csv,Document
